country,plant_name,capacity_megawatt,energy_source
Afghanistan,"Kajaki Hydroelectric Power Plant Afghanistan",33,"Hydro"
Afghanistan,"Kandahar DOG",10,"Solar"
Afghanistan,"Kandahar JOL",10,"Solar"
Afghanistan,"Mahipar Hydroelectric Power Plant Afghanistan",66,"Hydro"
Afghanistan,"Naghlu Dam Hydroelectric Power Plant Afghanistan",100,"Hydro"
Afghanistan,"Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan",11.55,"Hydro"
Afghanistan,"Northwest Kabul Power Plant Afghanistan",42,"Gas"
Afghanistan,"Pul-e-Khumri Hydroelectric Power Plant Afghanistan",6,"Hydro"
Afghanistan,"Sarobi Dam Hydroelectric Power Plant Afghanistan",22,"Hydro"
Albania,"Bistrica 1",27,"Hydro"
Albania,Fierza,500,"Hydro"
Albania,Koman,600,"Hydro"
Albania,Lanabregas,5,"Hydro"
Albania,Shkopet,24,"Hydro"
Albania,Ulez,25,"Hydro"
Albania,"Vau i Dijes",250,"Hydro"
Albania,Vlora,98,"Other"
Algeria,Adrar,20,"Solar"
Algeria,"Ain Azel",20,"Solar"
Algeria,"Ain Djasser",520,"Gas"
Algeria,"Ain Sekhouna",20,"Solar"
Algeria,"Ain el Ibel I",20,"Solar"
Algeria,"Ain el Ibel II",53,"Solar"
Algeria,"Ain el Melh",20,"Solar"
Algeria,"Algerie Sud-Ouest",43.5,"Solar"
Algeria,Annaba,71,"Gas"
Algeria,Aoulef,5,"Solar"
Algeria,Arbaa,560,"Gas"
Algeria,"Bir Rebaa",10,"Solar"
Algeria,"Boufarik 1",100,"Gas"
Algeria,"Boufarik 2",450,"Gas"
Algeria,Boutelilis,450,"Gas"
Algeria,"Chelghoum El Aïd",15,"Solar"
Algeria,"El Kheneg",60,"Solar"
Algeria,F'Krina,292,"Gas"
Algeria,"HPC Ouargla",30,"Solar"
Algeria,"Hadjret Ennous",1200,"Gas"
Algeria,"Hamma 2",418,"Gas"
Algeria,"Hassi Messaoud Mobile",72,"Gas"
Algeria,"Hassi Messoud",600,"Gas"
Algeria,"Hassi Messoud Nord 2",200,"Gas"
Algeria,"Hassi Messoud Ouest",492,"Gas"
Algeria,"Hassi R'mel ISCC",20,"Solar"
Algeria,"Hauts Plateaux Centre",106.6,"Solar"
Algeria,"Hauts Plateaux Est",73.8,"Solar"
Algeria,"Ighil Emda",24,"Hydro"
Algeria,"In Salah",5,"Solar"
Algeria,Jijel,588,"Gas"
Algeria,"Kahrama IPP",345,"Gas"
Algeria,"Koudiet Eddraouch",1200,"Gas"
Algeria,"Labiodh Sidi Cheikh",20,"Solar"
Algeria,Labreg,396,"Gas"
Algeria,Marsat,840,"Gas"
Algeria,"Marsat TG",184,"Gas"
Algeria,"Msila 1",980,"Gas"
Algeria,Naâma,19.9,"Solar"
Algeria,"Oued El Kebrit",15,"Solar"
Algeria,"Oued el Ma",20,"Solar"
Algeria,"Ras Djinet",672,"Gas"
Algeria,"Ras el Oued",20,"Solar"
Algeria,"Ravin Blanc",73,"Gas"
Algeria,Reggane,5,"Solar"
Algeria,Relizane,465,"Gas"
Algeria,"SKB IPP",484,"Gas"
Algeria,"SKS IPP SNC Lavalin",815,"Gas"
Algeria,"SPP1 Thermal",150,"Gas"
Algeria,Skikda,262,"Gas"
Algeria,Tamanrasset,13,"Solar"
Algeria,Terga,1200,"Gas"
Algeria,Tiaret,300,"Gas"
Algeria,"Tilghemt 1",200,"Gas"
Algeria,"Tilghemt 2",600,"Gas"
Algeria,Timimoun,9,"Solar"
Algeria,Tindouf,9,"Solar"
Algeria,Télagh,12,"Solar"
Algeria,"Zaouiet Kounta",6,"Solar"
Angola,Biopio,22.8,"Oil"
Angola,"Biopio (hydro)",14.6,"Hydro"
Angola,Cambambe,180,"Hydro"
Angola,Capanda,520,"Hydro"
Angola,Cazenga,132,"Gas"
Angola,Huambo,16.26,"Oil"
Angola,Lobito,20,"Gas"
Angola,"Luanda Diesel",58,"Oil"
Angola,"Luanda Refinery",18.5,"Oil"
Angola,Malongo,10,"Oil"
Angola,Matala,40,"Hydro"
Angola,Namibe,11.68,"Gas"
Angola,"Rio Luachimo",16,"Hydro"
Angola,Xitoto,11.34,"Oil"
Argentina,"AGUA DEL CAJON (AUTOGENERADOR DEL MEM)",479.2,"Other"
Argentina,"AGUA DEL CAJON (GENERADOR DEL MEM)",192,"Gas"
Argentina,"AGUA DEL TORO",130,"Hydro"
Argentina,ALICURA,1050,"Hydro"
Argentina,"ALMIRANTE BROWN",25,"Oil"
Argentina,"ALTO VALLE",97.5,"Gas"
Argentina,ALUMINE,1.904,"Oil"
Argentina,"ALVAREZ CONDARCO",50.7,"Hydro"
Argentina,ARROYITO,128,"Hydro"
Argentina,"ATUCHA I",370,"Nuclear"
Argentina,"ATUCHA II",745,"Nuclear"
Argentina,BANDERA,31,"Oil"
Argentina,"BARILOCHE (PUERTO  MORENO)",5.736,"Oil"
Argentina,"BENJAMIN REOLIN",38.4,"Hydro"
Argentina,"BERNARDO  DE IRIGOYEN",2.096,"Oil"
Argentina,"C.T. RUFINO",31.9,"Oil"
Argentina,"C.T. SAN VICENTE",27.6,"Oil"
Argentina,"CAA CATI",1.415,"Oil"
Argentina,"CABRA CORRAL",102,"Hydro"
Argentina,"CACHEUTA (NUEVA)",120,"Hydro"
Argentina,CACHI,1.07,"Oil"
Argentina,CAFAYATE,4.182,"Oil"
Argentina,"CAPITAL CATAMARCA - PREDIO CHOYA",5.728,"Oil"
